Title,Style,Size,OG,FG,ABV,IBU,Color
The Real Authentic German Hefeweizen,Weizen/Weissbier,5.5 Gallons,1.051,1.012,5.14,14.3,4.03 °L
Russian Imperial Stout,Russian Imperial Stout,5.5 Gallons,1.097,1.024,9.58,74.52,50 °L
Kronenbourg Blanc Clone (Été Dans Une Verre),Witbier,10 Gallons,1.051,1.007,5.87,20,3.5 °L
IRISH RED ALE,Irish Red Ale,20 Litres,1.044,1.012,4.28,26.02,12.42 °L
Indian Summer Pale Ale,American Pale Ale,25 Litres,1.06,1.017,5.69,12.96,9.27 °L
Holy Water - Trappist Single,Trappist Single,21 Litres,1.054,1.012,5.45,33.67,3.63 °L
Clone - Firestone Wookey Jack - Black Rye IPA,Specialty IPA: Black IPA,10 Gallons,1.085,1.027,7.62,73.29,39.95 °L
Lallemand/Verdant NEIPA,American IPA,19 Litres,1.061,1.012,6.39,25.58,5.01 °L
Bitburger Clone,German Pilsner (Pils),6 Gallons,1.054,1.013,5.45,37.53,3.35 °L
Basic Amber,American Amber Ale,5.25 Gallons,1.053,1.015,4.97,35.4,11.11 °L
New Belgium Fat Tire Clone Recipe,American Amber Ale,5.5 Gallons,1.06,1.017,5.71,19.33,10.44 °L
Jason's Tropical IPA -  All-Grain,American IPA,6 Gallons,1.066,1.016,6.58,67.34,5.81 °L
White Stout,Sweet Stout,5.5 Gallons,1.057,1.022,4.59,26.61,10.56 °L
Focal Banger Clone,American IPA,5.5 Gallons,1.066,1.013,6.98,105.36,6.75 °L
Alaskan Amber Clone,American Amber Ale,5 Gallons,1.056,1.013,5.69,35.3,10.59 °L
Oaked Acerglyn (Maple Mead),Dry Mead,5 Gallons,1.108,1.001,15.38,0,16.08 °L
Smithwick's Irish Red Ale Clone,Irish Red Ale,20 Litres,1.048,1.013,4.62,20.51,16.14 °L
Speedway Stout Clone,Russian Imperial Stout,3.75 Gallons,1.124,1.024,13.24,54.32,40 °L
Backwoods Bastard Clone,Strong Scotch Ale,6 Gallons,1.107,1.033,10.94,50.84,31 °L
Chocolate Coffee Stout,American Stout,6 Gallons,1.065,1.013,6.78,75.42,40 °L
Saison Dupont Clone,Saison,20 Litres,1.062,1.011,6.69,25.71,5.25 °L
Sleeman Cream Ale Clone,Cream Ale,20.8 Litres,1.055,1.015,5.22,19.73,4.74 °L
Bell's Oberon Clone,American Wheat Beer,5.5 Gallons,1.051,1.012,5.18,17.45,5.1 °L
New England IPA,American IPA,5.75 Gallons,1.066,1.018,6.31,93.98,4.82 °L
Centennial Blonde,Blonde Ale,5.5 Gallons,1.041,1.009,4.1,23.65,3.73 °L
Kentucky Bourbon Barrel Ale,Wood-Aged Beer,5 Gallons,1.099,1.033,8.62,13.95,37.22 °L
Jumpin' Jalapeño Saison,Saison,1 Gallons,1.056,1.012,5.73,27.86,9.94 °L
Bakke Brygg Tsjekkisk Pilsner 25 L,Bohemian Pilsener,25 Litres,1.049,1.014,4.64,39.32,3.8 °L
Corona Extra Clone,Light American Lager,5.5 Gallons,1.046,1.011,4.55,0.95,2.96 °L
Voodoo Ranger Juicy Haze Clone,Specialty IPA: New England IPA,5 Gallons,1.06,1.015,5.94,43.84,12.09 °L
Westvleteren 12 Clone,Clone Beer,5 Gallons,1.09,1.014,10,35.35,26.41 °L
Pauwel Kwak Clone,Belgian Golden Strong Ale,5.5 Gallons,1.09,1.023,9.65,22.92,9.04 °L
COORS BANQUET LAGER,American Light Lager,5 Gallons,1.046,1.008,5.07,12.56,2.38 °L
Japanese Rice Lager,International Pale Lager,10 Gallons,1.047,1.009,4.92,18.13,2.06 °L
Sweet Baby Jesus Clone,Robust Porter,5.5 Gallons,1.08,1.02,7.77,30.03,47.34 °L
Watermelon Wheat,Witbier,18 Litres,1.053,1.012,5.33,8.74,3.9 °L
Golden Monkey Clone,Belgian Tripel,5 Gallons,1.087,1.014,9.51,29.19,7.48 °L
White Wedding (Allagash White Clone),Witbier,5.5 Gallons,1.053,1.012,5.37,24.71,3.43 °L
Trillium Headroom Clone,American IPA,5.5 Gallons,1.081,1.02,8.08,162.63,5.19 °L
Bell's Hopslam Clone,Double IPA,12 Gallons,1.088,1.019,9.78,141.73,6.68 °L
Rodenbach Grand Cru Clone,Flanders Red Ale,5.75 Gallons,1.06,1.005,7.22,15.99,15.25 °L
Pineapple Cider,Fruit Cider,5.5 Gallons,1.047,1.012,4.59,1.39,11.54 °L
Dreaded Jake Porter - Robust Porter,Robust Porter,13 Gallons,1.063,1.015,6.32,32.34,33.24 °L
