Recipe Name,Recipe URL,Beer Style,Brewer,Stats
River Working Mans English Mild Anvil 10.5,https://beersmithrecipes.com/viewrecipe/5167765/river-working-mans-english-mild-anvil-105,Mild (11A),HiawathaBrewing,"OG: 1.036 (9.0° P), Bitterness: 20.0 IBUs, ABV: 3.5 %"
Norman Chocolate Hazelnut Coffee Stout Batch 4,https://beersmithrecipes.com/viewrecipe/5058843/norman-chocolate-hazelnut-coffee-stout-batch-4,Sweet Stout (16A),HiawathaBrewing,"OG: 1.072 (17.5° P), Bitterness: 22.3 IBUs, ABV: 6.0 %"
Norman Chocolate Hazelnut Coffee Stout Adjusted,https://beersmithrecipes.com/viewrecipe/4729130/norman-chocolate-hazelnut-coffee-stout-adjusted,Sweet Stout (16A),HiawathaBrewing,"OG: 1.075 (18.2° P), Bitterness: 21.7 IBUs, ABV: 6.3 %"
Lake Shore Imperial IPA Adjusted,https://beersmithrecipes.com/viewrecipe/4779229/lake-shore-imperial-ipa-adjusted,Imperial IPA (14C),HiawathaBrewing,"OG: 1.074 (18.0° P), Bitterness: 74.0 IBUs, ABV: 7.8 %"
Laauwe Sorrel Blonde Ale 2,https://beersmithrecipes.com/viewrecipe/5072860/laauwe-sorrel-blonde-ale-2,Blonde Ale (6B),HiawathaBrewing,"OG: 1.057 (14.0° P), Bitterness: 22.4 IBUs, ABV: 5.5 %"
Laauwe Sorrel Blonde Ale,https://beersmithrecipes.com/viewrecipe/4746176/laauwe-sorrel-blonde-ale,Blonde Ale (6B),HiawathaBrewing,"OG: 1.057 (14.0° P), Bitterness: 22.4 IBUs, ABV: 5.5 %"
Beverwyck Schwarzbier Lager Anvil 10.5,https://beersmithrecipes.com/viewrecipe/4962359/beverwyck-schwarzbier-lager-anvil-105,Schwarzbier (Black Beer) (4C),HiawathaBrewing,"OG: 1.052 (12.8° P), Bitterness: 29.7 IBUs, ABV: 5.3 %"
Bowie In Space,https://beersmithrecipes.com/viewrecipe/4897645/bowie-in-space,Specialty IPA: New England IPA (21B),HiawathaBrewing,"OG: 1.072 (17.5° P), Bitterness: 296.7 IBUs, ABV: 7.5 %"
DDH West Coast IPA,https://beersmithrecipes.com/viewrecipe/5170880/ddh-west-coast-ipa,Double IPA (22A),cdouglas70,"OG: 1.077 (18.6° P), Bitterness: 67.7 IBUs, ABV: 6.6 %"
Killian's Irish Red Clone,https://beersmithrecipes.com/viewrecipe/5134468/killians-irish-red-clone,Irish Red Ale (15A),cdouglas70,"OG: 1.052 (12.9° P), Bitterness: 20.6 IBUs, ABV: 5.1 %"
Stout my,https://beersmithrecipes.com/viewrecipe/2738798/stout-my,Irish Extra Stout (15C),Helgiz,"OG: 1.059 (14.5° P), Bitterness: 35.9 IBUs, ABV: 6.3 %"
Vanilla Cream Ale,https://beersmithrecipes.com/viewrecipe/953849/vanilla-cream-ale,Cream Ale ( 1C),coreyperrycm,"OG: 1.045 (11.1° P), Bitterness: 10.0 IBUs, ABV: 4.6 %"
BRO-42-Rousse allemande Altbier ver 2.0,https://beersmithrecipes.com/viewrecipe/5151385/bro-42-rousse-allemande-altbier-ver-20,Düsseldorf Altbier ( 7C),louilama,"OG: 1.050 (12.3° P), Bitterness: 44.9 IBUs, ABV: 4.9 %"
Louies Pfriem Jammy Pale Ale,https://beersmithrecipes.com/viewrecipe/3163374/louies-pfriem-jammy-pale-ale,American Pale Ale (10A),BaderBeer,"OG: 1.052 (13.0° P), Bitterness: 37.1 IBUs, ABV: 4.9 %"
Louie's Lucille,https://beersmithrecipes.com/viewrecipe/2580385/louies-lucille,American IPA (14B),BaderBeer,"OG: 1.062 (15.2° P), Bitterness: 57.9 IBUs, ABV: 6.2 %"
Louie's Hoppy German lager,https://beersmithrecipes.com/viewrecipe/995729/louies-hoppy-german-lager,German Pilsner (Pils) ( 2A),BaderBeer,"OG: 1.048 (12.0° P), Bitterness: 44.2 IBUs, ABV: 4.7 %"
Bloody Codger ESB v.3.2,https://beersmithrecipes.com/viewrecipe/5170424/bloody-codger-esb-v32,Strong Bitter (11C),atlref,"OG: 1.052 (12.8° P), Bitterness: 41.2 IBUs, ABV: 5.2 %"
Denver Munich Helles 2,https://beersmithrecipes.com/viewrecipe/5152732/denver-munich-helles-2,Munich Helles ( 1D),cfrazier77,"OG: 1.048 (11.8° P), Bitterness: 17.7 IBUs, ABV: 5.0 %"
Vamos De Fiesta V1.1,https://beersmithrecipes.com/viewrecipe/5169189/vamos-de-fiesta-v11,International Pale Lager ( 2A),atlref,"OG: 1.049 (12.2° P), Bitterness: 18.1 IBUs, ABV: 5.3 %"
